,회사명,종목코드,상장일,상장유형,증권구분,상장주선인,액면가(원),공모가(원),공모금액(천원),최초상장주식수(주),1년후종가
0,메디톡스,086900,2009-01-16,신규상장,주권,한국투자증권(주),500,14000,3542784,5059000,23377
1,대성파인텍,104040,2009-01-23,신규상장,주권,KB증권(주),500,3500,1575000,2894000,555
2,유비쿼스,078070,2009-01-23,신규상장,주권,미래에셋증권(주),500,6100,6278120,10290000,6473
3,이수앱지스,086890,2009-02-03,신규상장,주권,삼성증권(주),500,5500,10450000,7443330,16578
4,삼성디지털이미징,108070,2009-03-10,재상장,주권,삼성증권(주),5000,0,0,23870000,45000
5,파인테크닉스,106240,2009-03-16,재상장,주권,하이투자증권(주),500,0,0,7913171,1952
6,KGP,109070,2009-03-17,재상장,주권,CLSA 코리아증권(주),5000,0,0,10839771,75955
7,한세실업,105630,2009-03-20,재상장,주권,유안타증권(주),500,0,0,30000000,5404
8,중국식품포장,900060,2009-03-27,신규상장,외국주권,신한금융투자(주),2,1500,9000000,20000000,5000
9,네오피델리티,101400,2009-03-31,신규상장,주권,한화투자증권(주),500,4500,2250000,2500000,7555
10,코오롱생명과학,102940,2009-04-07,신규상장,주권,삼성증권(주),500,23500,16920000,3420000,21758
11,뷰웍스,100120,2009-04-10,신규상장,주권,한국투자증권(주),500,9000,9450000,6047910,10316
12,에스앤에스텍,101490,2009-04-14,신규상장,주권,미래에셋대우(주),500,4000,9200000,10915980,4960
13,에스티오,098660,2009-04-17,신규상장,주권,삼성증권(주),500,5000,4700000,4998801,1760
14,엔에스브이,095300,2009-04-17,신규상장,주권,미래에셋대우(주),500,4300,10900500,8450000,8219
15,에이테크솔루션,071670,2009-04-17,신규상장,주권,KB증권(주),500,5400,2700000,10000000,23850
16,티플랙스,081150,2009-04-23,신규상장,주권,미래에셋증권(주),500,3000,3176910,5753000,2357
17,네프로아이티,950030,2009-04-24,신규상장,주식예탁증권,삼성증권(주),0,4500,3600000,3400000,5690
18,우림기계,101170,2009-04-28,신규상장,주권,유안타증권(주),500,10000,19580000,8687300,7367
19,신텍,099660,2009-04-30,신규상장,주권,엔에이치투자증권주식회사,500,12500,17500000,5450217,3558
20,흥국,010240,2009-05-12,신규상장,주권,한국투자증권(주),500,4200,4713156,5328000,1923
21,STX엔파코,071970,2009-05-15,신규상장,주권,"신한금융투자(주),엔에이치투자증권주식회사",2500,13000,29900000,22300000,4939103
22,서울마린,099220,2009-05-19,신규상장,주권,미래에셋증권(주),500,10000,31496800,10000000,8300
23,한국정밀기계,101680,2009-05-19,신규상장,주권,KB증권(주),500,22000,50490000,7640000,37636
24,해덕선기,102210,2009-05-21,신규상장,주권,메리츠증권(주),500,8500,20825000,8150000,1506
25,중국원양자원,900050,2009-05-22,신규상장,외국주권,KB증권(주),1,3100,53320000,57200000,3747
26,뉴그리드,099440,2009-05-26,신규상장,주권,미래에셋증권(주),500,3500,2091863,5650000,2906
27,이엔에프테크놀로지,102710,2009-05-28,신규상장,주권,한국투자증권(주),500,5500,14850000,14200000,8000
28,차이나그레이트,900040,2009-05-29,신규상장,외국주권,엔에이치투자증권(주)(농협),0,1700,51000000,100000000,1868
29,조이맥스,101730,2009-06-03,신규상장,주권,교보증권(주),500,55000,47891250,3400000,18558
30,어보브반도체,102120,2009-06-05,신규상장,주권,한국투자증권(주),500,3300,4059000,10546833,3425
31,동아지질,028100,2009-06-12,신규상장,주권,미래에셋대우(주),500,14500,50750000,11500000,15450
32,한미파슨스,053690,2009-06-23,신규상장,주권,삼성증권(주),500,14500,15950000,7100000,13250
33,대우캐피탈,033660,2009-06-25,신규상장,주권,한국투자증권(주),5000,8000,46400000,57200000,4155
34,동일금속,109860,2009-07-28,신규상장,주권,유안타증권(주),500,8000,16800000,7000000,7150
35,영원무역,111770,2009-07-30,재상장,주권,신한금융투자(주),500,0,0,40811468,8950
36,게임빌,063080,2009-07-30,신규상장,주권,유안타증권(주),500,15000,12600000,5484780,24800
37,키움증권,039490,2009-08-03,이전상장,주권,유안타증권(주),5000,0,0,19459476,44900
38,에스앤더블류,103230,2009-08-05,신규상장,주권,대신증권(주),500,6700,5360000,7200000,4050
39,동국S&C,100130,2009-08-31,신규상장,주권,삼성증권(주),500,11000,251430300,57143000,7200
40,톱텍,108230,2009-09-15,신규상장,주권,현대차증권주식회사,500,10400,20800000,5600000,3697
41,제넥신,095700,2009-09-15,신규상장,주권,"교보증권(주),미래에셋대우(주)",500,27000,27000000,4022870,7950
42,디에스케이,109740,2009-09-23,신규상장,주권,신한금융투자(주),500,5000,7500000,6000000,1760
43,모린스,110310,2009-09-25,신규상장,주권,"엔에이치투자증권주식회사,KB증권(주)",500,39000,53134068,7093439,8360
44,에리트베이직,093240,2009-09-28,신규상장,주권,신한금융투자(주),5000,4000,8000000,8000000,2273
45,케이엔더블유,105330,2009-09-29,신규상장,주권,키움증권(주),500,11000,9900000,4400000,12524
46,쌍용머티리얼,047400,2009-09-29,신규상장,주권,미래에셋대우(주),5000,17500,31500000,4200000,1220
47,아이앤씨,052860,2009-10-06,신규상장,주권,미래에셋증권(주),500,16000,37120000,11581182,9550
